"scientific.name","common.name","iconic.taxon.name","groups","observed.on","place.guess","positional.accuracy","user.login","user.id","captive.cultivated","url","image.url","license","source","checklist","count","longitude","latitude","pic.name"
"Setophaga fusca","blackburnian warbler","Aves","Birds",2023-05-15,"Schoodic Peninsula, Winter Harbor, ME 04693, USA",1550,"swgarnett",752314,"false","https://www.inaturalist.org/observations/162642839","https://inaturalist-open-data.s3.amazonaws.com/photos/281240759/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-68.0580611,44.3667471,"blackburnian warbler_swgarnett_1"
"Dumetella carolinensis","gray catbird","Aves","Birds",2023-05-15,"Frazer Point, Winter Harbor, ME 04693, USA",1550,"cvschmitt",256926,"false","https://www.inaturalist.org/observations/161898481","https://inaturalist-open-data.s3.amazonaws.com/photos/279879026/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-68.0747287,44.3756358,"gray catbird_cvschmitt_2"
"Pandion haliaetus","osprey","Aves","Birds",2023-05-19,"Bar Harbor, ME, USA",NA,"jharkness",1215821,"false","https://www.inaturalist.org/observations/162542129","https://inaturalist-open-data.s3.amazonaws.com/photos/281051518/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-68.23309803,44.38472953,"osprey_jharkness_3"
"Pinus rigida","pitch pine","Plantae","Plants",2023-05-19,"Bar Harbor, ME, USA",NA,"jharkness",1215821,"false","https://www.inaturalist.org/observations/162542132","https://inaturalist-open-data.s3.amazonaws.com/photos/281051700/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-68.2356303333,44.3849988333,"pitch pine_jharkness_4"
"Haliaeetus leucocephalus","bald eagle","Aves","Birds",2023-05-18,"Acadia National Park, Bar Harbor, ME, US",181,"bend2000",5754516,"false","https://www.inaturalist.org/observations/162375320","https://inaturalist-open-data.s3.amazonaws.com/photos/280756349/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-68.1923452552,44.4002618349,"bald eagle_bend2000_5"
"Meleagris gallopavo","wild turkey","Aves","Birds",2023-05-18,"Bar Harbor, ME 04609, USA",NA,"plantlovergus",4845465,"false","https://www.inaturalist.org/observations/162387983","https://static.inaturalist.org/photos/280779108/medium.jpeg","","iNaturalist",NA,1,-68.236297,44.390753,"wild turkey_plantlovergus_6"
"Setophaga pensylvanica","chestnut-sided warbler","Aves","Birds",2023-05-15,"Frazer Point, Winter Harbor, ME 04693, USA",1550,"cvschmitt",256926,"false","https://www.inaturalist.org/observations/161898474","https://inaturalist-open-data.s3.amazonaws.com/photos/279878977/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-68.0747287,44.3756358,"chestnut-sided warbler_cvschmitt_7"
"Fomes excavatus","Fomes excavatus","Fungi","Fungi and lichens",2023-05-16,"Mt Desert, ME 04660, USA",NA,"plantlovergus",4845465,"false","https://www.inaturalist.org/observations/162045189","https://static.inaturalist.org/photos/280150847/medium.jpeg","","iNaturalist",NA,1,-68.192522,44.311768,"Fomes excavatus_plantlovergus_8"
"Betula papyrifera","paper birch","Plantae","Plants",2023-05-15,"Winter Harbor, ME 04693, USA",1550,"cvschmitt",256926,"false","https://www.inaturalist.org/observations/161905420","https://inaturalist-open-data.s3.amazonaws.com/photos/279893345/medium.jpeg","CC-BY-NC","iNaturalist",NA,1,-68.0700642988,44.3467504428,"paper birch_cvschmitt_9"
"Coptis trifolia","threeleaf goldthread","Plantae","Plants",2023-05-15,"Winter Harbor, ME 04693, USA",1550,"cvschmitt",256926,"false","https://www.inaturalist.org/observations/161905330","https://inaturalist-open-data.s3.amazonaws.com/photos/279893102/medium.jpeg","CC-BY-NC","iNaturalist",NA,1,-68.0703355372,44.3474270516,"threeleaf goldthread_cvschmitt_10"
